pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,1,1,Imaging,2008,Gemini Observatory,Published Confirmed,0,<a refstr=LAFRENIERE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...689L.153L/abstract target=ref> Lafreniere et al. 2008 </a>,,,,,330.0,,,0.0,18.647,,,0.0,1.664,,,0.0,2543.0,1271.0,-636.0,0.0,8.0,4.0,-2.0,0.0,Mass,,,,,,,,,1800.0,200.0,-100.0,0.0,0.0,<a refstr=LAFRENIERE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...689L.153L/abstract target=ref> Lafreniere et al. 2008 </a>,K7 V,4060.0,300.0,-200.0,0.0,1.352,,,0.0,0.85,0.2,-0.1,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.135,1.332,-1.307,12.618,0.069,-0.069,8.916,0.021,-0.021,12.0572,0.002275,-0.002275,2014-05-14,2008-12,2014-05-14
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,Published Confirmed,0,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,,,,,156.0,10.0,-10.0,0.0,16.14096,0.33627,-0.33627,0.0,1.44,0.03,-0.03,0.0,4417.837,349.613,-349.613,0.0,13.9,1.1,-1.1,0.0,Mass,,,,,,,,,,,,,0.0,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,M6,3064.0,76.0,-76.0,0.0,0.281,0.013,-0.013,0.0,0.108,0.011,-0.011,0.0,,,,,,4.59,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,,,,,,,10.404,0.025,-0.025,15.0123,0.000624,-0.000624,2015-05-14,2015-06,2015-05-14
55 Cnc e,55 Cnc,0,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=DEMORY_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.455.2018D/abstract target=ref>Demory et al. 2016</a>,,,,,0.01544,9e-05,-9e-05,0.0,1.92,0.08,-0.08,0.0,0.17129093,0.00713712,-0.00713712,0.0,8.08,0.31,-0.31,0.0,0.0254224,0.00097536,-0.00097536,0.0,Mass,,,,,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5250.0,123.3,-171.85,0.0,0.963515,0.077739,-0.053155,0.0,0.9,0.140042,-0.089993,0.0,0.35,0.1,-0.1,0.0,[M/H],4.42459,0.051537,-0.13565,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,2021-02-05,2016-01,2016-01-21
AU Mic b,AU Mic,0,1,4,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,8.463,2e-06,-2e-06,0.0,0.0645,0.0013,-0.0013,0.0,4.07,0.17,-0.17,0.0,0.3631017,0.01516641,-0.01516641,0.0,17.0,5.0,-5.0,0.0,0.05348798,0.01573176,-0.01573176,0.0,Mass,0.0,,,0.0,,,,,593.0,21.0,-21.0,0.0,1.0,<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,,3700.0,100.0,-100.0,0.0,0.75,0.03,-0.03,0.0,0.5,0.03,-0.03,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,0.004625,-0.004625,8.81,0.1,-0.1,4.529,0.02,-0.02,7.84038,0.000731,-0.000731,2021-08-09,2021-05,2021-08-09
AU Mic c,AU Mic,0,1,4,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,18.859019,1.6e-05,-1.6e-05,0.0,0.1101,0.0022,-0.0022,0.0,3.24,0.16,-0.16,0.0,0.28905394,0.01427427,-0.01427427,0.0,13.6,11.4,-11.4,0.0,0.04279039,0.03586841,-0.03586841,0.0,Mass,0.0,,,0.0,,,,,454.0,16.0,-16.0,0.0,0.0,<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,,3700.0,100.0,-100.0,0.0,0.75,0.03,-0.03,0.0,0.5,0.03,-0.03,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,0.004625,-0.004625,8.81,0.1,-0.1,4.529,0.02,-0.02,7.84038,0.000731,-0.000731,2021-08-10,2021-05,2021-08-10
BD+20 594 b,BD+20 594,0,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,41.6855,0.003,-0.0031,0.0,0.241,0.019,-0.017,0.0,2.23,0.14,-0.11,0.0,0.19894727,0.01248996,-0.00981354,0.0,16.3,6.0,-6.1,0.0,0.05128528,0.01887802,-0.01919265,0.0,Mass,0.0,,,0.0,,,,,546.0,19.0,-18.0,0.0,0.0,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,G,5766.0,99.0,-99.0,0.0,0.928,0.055,-0.04,0.0,0.961,0.032,-0.029,0.0,-0.15,0.05,-0.05,0.0,[Fe/H],4.5,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.461,1.257,-1.24,10.849,0.012,-0.012,9.368,0.018,-0.018,10.8644,0.000249,-0.000249,2018-04-25,2016-10,2016-07-28
BD+60 1417 b,BD+60 1417,1,1,1,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,Published Confirmed,0,<a refstr=FAHERTY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...923...48F/abstract target=ref>Faherty et al. 2021</a>,,,,,1662.0,,,0.0,14.68376472,0.67253884,-0.67253884,0.0,1.31,0.06,-0.06,0.0,4767.426105,1589.142035,-1589.142035,0.0,15.0,5.0,-5.0,0.0,Mass,,,,,,,,,1303.0,74.0,-74.0,0.0,0.0,<a refstr=FAHERTY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...923...48F/abstract target=ref>Faherty et al. 2021</a>,K0,4993.0,124.0,-124.0,0.0,0.797,0.051,-0.051,0.0,1.0,,,0.0,,,,,,4.5539,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h43m33.01s,190.8875453,+60d00m51.71s,60.0143636,44.9543,0.0593,-0.0592,9.374,0.003,-0.003,7.288,0.024,-0.024,9.17439,0.000533,-0.000533,2022-01-10,2021-12,2022-01-10
BD-14 3065 b,BD-14 3065 A,1,3,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,4.2889731,5.2e-06,-5.2e-06,0.0,0.0656,0.0026,-0.0026,0.0,21.59,1.05,-1.05,0.0,1.926,0.094,-0.094,0.0,3932.0,290.0,-280.0,0.0,12.37,0.92,-0.87,0.0,Mass,0.066,0.0098,-0.011,0.0,,,,,2001.0,31.0,-31.0,0.0,0.0,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,,6935.0,90.0,-90.0,0.0,2.35,0.08,-0.08,0.0,1.41,0.05,-0.05,0.0,-0.34,0.05,-0.05,0.0,[Fe/H],3.85,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h14m40.72s,153.6696689,-15d38m34.21s,-15.6428372,589.423,16.599,-15.729,11.1,0.013,-0.013,9.932,0.026,-0.026,10.91,0.001617,-0.001617,2024-06-25,2024-03,2024-06-25
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,1,Imaging,2021,Hubble Space Telescope,Published Confirmed,0,<a refstr=FONTANIVE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...905L..14F/abstract target=ref>Fontanive et al. 2020</a>,8040000.0,470000.0,-470000.0,0.0,200.0,6.0,-6.0,0.0,20.8487041,0.56044903,-0.56044903,0.0,1.86,0.05,-0.05,0.0,2479.0615746,222.4798849,-254.2627256,0.0,7.8,0.7,-0.8,0.0,Mass,,,,,,,,,1800.0,40.0,-40.0,0.0,0.0,<a refstr=FONTANIVE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...905L..14F/abstract target=ref>Fontanive et al. 2020</a>,M9-L1,2320.0,40.0,-40.0,0.0,0.245,0.007,-0.008,0.0,0.0147,0.0008,-0.0008,0.0,,,,,,3.845,0.007,-0.008,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h27m44.23s,246.934277,-23d58m52.14s,-23.98115,,,,,,,14.593,0.098,-0.098,,,,2021-05-17,2020-12,2021-05-17
COCONUTS-2 b,COCONUTS-2 A,0,1,1,Imaging,2021,NASA Infrared Telescope Facility (IRTF),Published Confirmed,0,<a refstr=ZHANG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...916L..11Z/abstract target=ref>Zhang et al. 2021</a>,402000000.0,470000000.0,-100000000.0,0.0,7506.0,5205.0,-2060.0,0.0,12.44196858,0.33626942,-0.33626942,0.0,1.11,0.03,-0.03,0.0,2002.3189641,476.7426105,-603.8739733,0.0,6.3,1.5,-1.9,0.0,Mass,,,,,,,,,434.0,9.0,-9.0,0.0,0.0,<a refstr=ZHANG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...916L..11Z/abstract target=ref>Zhang et al. 2021</a>,M3 V,3406.0,69.0,-69.0,0.0,0.388,0.011,-0.011,0.0,0.37,0.02,-0.02,0.0,0.0,0.08,-0.08,0.0,[Fe/H],4.83,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h49m12.22s,117.300914,-76d42m09.71s,-76.702696,10.8864,0.0041,-0.0042,11.298,0.027,-0.027,6.579,0.018,-0.018,10.146,0.001567,-0.001567,2021-08-16,2021-08,2021-08-16
CT Cha b,CT Cha,1,1,1,Imaging,2007,Paranal Observatory,Published Confirmed,0,<a refstr=SCHMIDT_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...491..311S/abstract target=ref> Schmidt et al. 2008 </a>,,,,,440.0,,,0.0,24.66,9.08,-6.73,0.0,2.2,0.81,-0.6,0.0,5403.0,1907.0,-1907.0,0.0,17.0,6.0,-6.0,0.0,Mass,,,,,,,,,2600.0,250.0,-250.0,0.0,0.0,<a refstr=SCHMIDT_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...491..311S/abstract target=ref> Schmidt et al. 2008 </a>,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h04m09.00s,166.0375038,-76d27m19.33s,-76.4553693,190.72,0.778,-0.771,12.335,0.069,-0.069,8.661,0.021,-0.021,11.7733,0.004701,-0.004701,2014-05-14,2008-11,2014-05-14
CoRoT-1 b,CoRoT-1,1,1,1,Transit,2008,CoRoT,Published Confirmed,0,<a refstr=BARGE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482L..17B/abstract target=ref> Barge et al. 2008 </a>,1.5089557,6.4e-06,-6.4e-06,0.0,,,,,16.7,0.9,-0.9,0.0,1.49,0.08,-0.08,0.0,327.35,38.14,-38.14,0.0,1.03,0.12,-0.12,0.0,Mass,0.0,,,0.0,,,,,1898.0,50.0,-50.0,0.0,0.0,<a refstr=BARGE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482L..17B/abstract target=ref> Barge et al. 2008 </a>,G0 V,5950.0,150.0,-150.0,0.0,1.11,0.05,-0.05,0.0,0.95,0.15,-0.15,0.0,-0.3,0.25,-0.25,0.0,[M/H],4.25,0.3,-0.3,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,787.909,23.491,-23.491,13.623,0.114,-0.114,12.149,0.027,-0.027,13.457,0.000477,-0.000477,2014-05-14,2008-05,2014-05-14
CoRoT-10 b,CoRoT-10,0,1,1,Transit,2010,CoRoT,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,13.2406,0.0002,-0.0002,0.0,0.1055,0.0019,-0.002,0.0,10.87273,0.78463,-0.78463,0.0,0.97,0.07,-0.07,0.0,867.6759,44.4962,-44.4962,0.0,2.73,0.14,-0.14,0.0,Mass,0.524,0.018,-0.018,0.0,,,,,,,,,0.0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,5075.0,75.0,-75.0,0.0,0.79,0.05,-0.05,0.0,0.89,0.05,-0.05,0.0,0.26,0.07,-0.07,0.0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,338.386,3.9865,-3.9865,15.293,0.137,-0.137,11.782,0.021,-0.021,14.6645,0.000329,-0.000329,2019-03-18,2017-06,2019-03-21
CoRoT-11 b,CoRoT-11,1,1,1,Transit,2010,CoRoT,Published Confirmed,0,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,2.99433,1.1e-05,-1.1e-05,0.0,0.0436,0.005,-0.005,0.0,16.03,0.34,-0.34,0.0,1.43,0.03,-0.03,0.0,740.51,108.06,-108.06,0.0,2.33,0.34,-0.34,0.0,Mass,0.0,,,0.0,,,,,1657.0,55.0,-55.0,0.0,0.0,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,F6 V,6440.0,120.0,-120.0,0.0,1.37,0.03,-0.03,0.0,1.27,0.05,-0.05,0.0,-0.03,0.08,-0.08,0.0,[Fe/H],4.22,0.23,-0.23,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,655.037,24.947,-23.209,12.897,0.114,-0.114,11.248,0.022,-0.022,12.841,0.000336,-0.000336,2014-05-14,2010-12,2014-05-14
CoRoT-12 b,CoRoT-12,0,1,1,Transit,2010,CoRoT,Published Confirmed,0,<a refstr=RAETZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.483..824R/abstract target=ref>Raetz et al. 2019</a>,2.82805268,6.5e-07,-6.5e-07,0.0,0.0392,0.0013,-0.0013,0.0,15.064896,0.829466,-0.795839,0.0,1.344,0.074,-0.071,0.0,277.46559,25.74423,-24.79074,0.0,0.873,0.081,-0.078,0.0,Mass,,,,,,,,,1417.0,20.0,-20.0,0.0,0.0,<a refstr=RAETZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.483..824R/abstract target=ref>Raetz et al. 2019</a>,,,,,,1.049,0.049,-0.047,0.0,1.0,0.1,-0.1,0.0,,,,,,4.375,0.032,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,1126.37,55.745,-55.745,15.588,0.183,-0.183,13.557,0.042,-0.042,15.3453,0.00077,-0.00077,2019-10-04,2019-02,2019-10-10
CoRoT-13 b,CoRoT-13,1,1,1,Transit,2010,CoRoT,Published Confirmed,0,<a refstr=CABRERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...522A.110C/abstract target=ref> Cabrera et al. 2010 </a>,4.03519,3e-05,-3e-05,0.0,0.051,0.0031,-0.0031,0.0,9.92,0.157,-0.157,0.0,0.885,0.014,-0.014,0.0,415.704,20.976,-20.976,0.0,1.308,0.066,-0.066,0.0,Mass,0.0,,,0.0,,,,,1700.0,,,0.0,0.0,<a refstr=CABRERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...522A.110C/abstract target=ref> Cabrera et al. 2010 </a>,G0 V,5945.0,90.0,-90.0,0.0,1.01,0.03,-0.03,0.0,1.09,0.02,-0.02,0.0,0.01,0.07,-0.07,0.0,[Fe/H],4.46,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h50m53.07s,102.7211432,-05d05m11.24s,-5.0864557,1148.93,62.12,-56.15,15.005,0.297,-0.297,13.376,0.039,-0.039,14.9147,0.0005,-0.0005,2014-05-14,2010-11,2014-05-14
CoRoT-14 b,CoRoT-14,0,1,1,Transit,2010,CoRoT,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,1.51214,0.00013,-0.00013,0.0,0.02691,0.0007,-0.00073,0.0,12.21781,0.78463,-0.78463,0.0,1.09,0.07,-0.07,0.0,2358.2986,149.3801,-149.3801,0.0,7.42,0.47,-0.47,0.0,Mass,0.036,,,1.0,,,,,,,,,0.0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,6040.0,100.0,-100.0,0.0,1.21,0.08,-0.08,0.0,1.13,0.09,-0.09,0.0,0.05,0.15,-0.15,0.0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h53m41.81s,103.4242023,-05d32m09.74s,-5.5360385,1744.6,173.03,-144.9,15.932,0.206,-0.206,13.806,0.053,-0.053,15.8116,0.000769,-0.000769,2019-03-18,2017-06,2019-03-21
CoRoT-16 b,CoRoT-16,0,1,1,Transit,2011,CoRoT,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,5.35227,0.0002,-0.0002,0.0,0.0618,0.0015,-0.0015,0.0,13.11453,1.56926,-1.79344,0.0,1.17,0.14,-0.16,0.0,168.13207,31.14734,-30.51168,0.0,0.529,0.098,-0.096,0.0,Mass,0.37,0.11,-0.12,0.0,,,,,,,,,0.0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,5650.0,100.0,-100.0,0.0,1.19,0.14,-0.13,0.0,1.098,0.082,-0.078,0.0,0.19,0.06,-0.06,0.0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h34m05.92s,278.5246658,-06d00m09.37s,-6.0026026,732.409,35.344,-32.282,16.052,0.217,-0.217,12.847,0.037,-0.037,15.6507,0.000998,-0.000998,2019-03-18,2017-06,2019-03-21
CoRoT-17 b,CoRoT-17,0,1,1,Transit,2011,CoRoT,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,3.7681,0.0003,-0.0003,0.0,0.0481,0.0015,-0.0016,0.0,11.43318,0.78463,-0.78463,0.0,1.02,0.07,-0.07,0.0,765.9703,85.8141,-82.6358,0.0,2.41,0.27,-0.26,0.0,Mass,0.081,,,1.0,,,,,,,,,0.0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,5740.0,80.0,-80.0,0.0,1.59,0.07,-0.07,0.0,1.04,0.1,-0.1,0.0,0.0,0.1,-0.1,0.0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h34m47.82s,278.699236,-06d36m44.24s,-6.612288,1176.12,57.17,-52.19,16.29,0.32,-0.32,12.472,0.054,-0.054,15.4368,0.000524,-0.000524,2019-03-18,2017-06,2019-03-21
CoRoT-18 b,CoRoT-18,0,1,1,Transit,2011,CoRoT,Published Confirmed,0,<a refstr=SOUTHWORTH_2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.426.1291S/abstract target=ref>Southworth 2012</a>,1.9000693,2.8e-06,-2.8e-06,0.0,0.0286,0.00068,-0.00068,0.0,14.022459,0.930347,-0.930347,0.0,1.251,0.083,-0.083,0.0,1039.3041,54.0311,-54.0311,0.0,3.27,0.17,-0.17,0.0,Mass,,,,,,,,,1490.0,45.0,-45.0,0.0,0.0,<a refstr=SOUTHWORTH_2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.426.1291S/abstract target=ref>Southworth 2012</a>,,5440.0,100.0,-100.0,0.0,0.924,0.057,-0.057,0.0,0.861,0.061,-0.061,0.0,-0.1,0.1,-0.1,0.0,[Fe/H],4.442,0.043,-0.043,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h32m41.38s,98.1724172,-00d01m53.78s,-0.0316045,764.889,27.614,-25.784,14.868,0.172,-0.172,13.014,0.03,-0.03,14.8009,0.001211,-0.001211,2016-01-12,2012-10,2016-01-14
CoRoT-19 b,CoRoT-19,0,1,1,Transit,2011,CoRoT,Published Confirmed,0,<a refstr=SOUTHWORTH_2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.426.1291S/abstract target=ref>Southworth 2012</a>,3.89713,2e-05,-2e-05,0.0,0.0512,0.0018,-0.0011,0.0,13.33871,2.91434,-0.773421,0.0,1.19,0.26,-0.069,0.0,346.4347,29.55819,-24.79074,0.0,1.09,0.093,-0.078,0.0,Mass,,,,,,,,,1630.0,150.0,-40.0,0.0,0.0,<a refstr=SOUTHWORTH_2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.426.1291S/abstract target=ref>Southworth 2012</a>,,6090.0,70.0,-70.0,0.0,1.576,0.354,-0.097,0.0,1.181,0.127,-0.077,0.0,-0.02,0.1,-0.1,0.0,[Fe/H],4.115,0.047,-0.152,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h28m08.06s,97.0335983,-00d10m14.63s,-0.1707293,790.663,26.737,-25.071,14.135,0.149,-0.149,11.837,0.024,-0.024,13.7831,0.000558,-0.000558,2016-01-12,2012-10,2016-01-14
